1-always-check-before-operating,dead
1-always-provide-defaults,dead
1-always-set-a-default,dead
1-always-use-set-e,dead
1-basic-menu-structure,dead
1-basic-parallel-execution-with-xargs,dead
1-basic-usage-logging,dead
1-build-artifacts,dead
1-clear-triggering,dead
1-color-definitions,dead
1-consistent-navigation,dead
1-documentation-structure,dead
1-interactive-dashboard,dead
1-keyvalue-configuration-parsing,dead
1-keyword-based-scoring,dead
1-project-initialization,dead
1-repository-discovery-from-gitignore,dead
1-xdg-base-directory-standard,dead
2-multi-level-menu-system,dead
2-multi-phase-sync-pattern,dead
3-abbreviations,dead
3-context-aware-scoring,dead
3-json-report-generation,dead
3-multi-stage-workflow-architecture,dead
3-navigation-structure,dead
3-repository-status-check,dead
3-table-display,dead
3-usage-summary-reports,dead
4-multi-section-ini-parsing,dead
4-progress-tracking,dead
4-state-file-operations,dead
5-cache-management,dead
5-confidence-scoring,dead
5-confirmation-dialogs,dead
5-environment-variable-configuration,dead
5-error-handling,dead
5-safe-branch-operations,dead
5-trend-analysis,dead
6-code-blocks-with-features,dead
6-yaml-configuration-via-yq,dead
7-mermaid-diagrams,dead
8-plugin-configuration,dead
account-research,hot
aceengineer-website-update,dead
activepieces,warm
advanced-usage,dead
agent-directories,dead
agent-teams,hot
agent-usage-optimizer,dead
agenta,hot
ai-prompting,dead
ai-tool-assessment,dead
airflow,cold
algorithmic-art,warm
analysis,hot
api,dead
api-integration,hot
api12-drilling-analyzer,dead
aqwa,hot
aqwa-benchmark,dead
astm,hot
audit-support,hot
automation,hot
autoviz,warm
background-service-manager,cold
bad-conceptual-only,dead
bash-cli-framework,warm
bash-script-framework,cold
basic-code-block,dead
basic-template,dead
batch-execution,hot
batch-manager,dead
bemrosetta,hot
best-practices,dead
blender,dead
brainstorming,cold
brand-guidelines,hot
brand-voice,cold
bsee-data-extractor,dead
bsee-sodir-extraction,dead
cad-engineering,dead
cad-mesh-generation,dead
calculation-report,hot
calendly-api,cold
call-prep,hot
campaign-planning,cold
canned-responses,hot
canonical-reference,dead
canvas-design,warm
catenary-riser,cold
cathodic-protection,hot
chartjs,dead
class-diagram,dead
clean-code,hot
cli-productivity,hot
clinical-trial-protocol,hot
close-management,hot
code-annotations,dead
code-check,dead
code-review,dead
code-reviewer,warm
collapsible-admonitions,dead
common-cdn-libraries,dead
common-errors,dead
common-hidden-folders,dead
common-hidden-folders-reference,dead
common-issues,dead
communication,dead
competitive-analysis,hot
competitive-intelligence,hot
complexity-scorer,dead
compliance,hot
comprehensive-learning,hot
configuration-options,dead
conflict-resolution-patterns,dead
content-quality,dead
content-strategy,hot
context-management,hot
contract-review,hot
core-principles,dead
cowork-plugin-customizer,dead
cp,dead
create-an-asset,hot
creative-skill-template,dead
cross-platform-compat,dead
customer-research,warm
d3js,dead
daily-briefing,hot
damping-sweep,dead
danger,dead
dark-intelligence-workflow,warm
dash,hot
data-analysis,dead
data-context-extractor,dead
data-exploration,hot
data-fetcher,dead
data-management,dead
data-pipeline-processor,warm
data-validation,hot
data-visualization,warm
detailed-instructions,dead
devtools,hot
diffraction-analysis,dead
discipline-refactor,dead
dnv,dead
doc-coauthoring,cold
doc-extraction,hot
doc-intelligence-promotion,cold
doc-research-download,hot
docker,warm
document-index-pipeline,hot
document-inventory,warm
document-rag-pipeline,warm
documentation,hot
docusaurus,warm
docx,warm
docx-templates,cold
draft-outreach,hot
drillbotics,hot
drilling,hot
drilling-riser,hot
dspy,warm
echarts,dead
economic-sensitivity-analyzer,dead
ecosystem-terminology,cold
elite-frontend-ux,dead
energy-data-visualizer,dead
engineering-chatbot,hot
engineering-report-generator,warm
entity-relationship,dead
environment-config,dead
error-handling,dead
escalation,warm
example,hot
example-1-create-new-cli-tool,dead
example-1-scenario-name,dead
examples,hot
excel-translation,dead
execution-checklist,dead
expense-tracking,dead
extreme-analysis,dead
fatigue-analysis,dead
fdas-economics,dead
fe-analyst,dead
feature-spec,warm
field-analyzer,dead
file-conversion,dead
file-naming,dead
file-structure,hot
financial-analysis,dead
financial-statements,hot
fitness-for-service,hot
flowchart,dead
folders-to-delete-confirmed-safe,dead
for-tracked-files-use-git-rm,dead
freecad-automation,cold
frontend-design,hot
gis-informed-workflow,dead
git-advanced,warm
git-sync-manager,warm
git-worktree-workflow,cold
gitbook,dead
github-actions,hot
gitignore-scaffold,hot
gitignore-updates,dead
gmsh-meshing,cold
good-actionable,dead
google-earth-engine,dead
great-tables,warm
gsd-add-backlog,cold
gsd-add-phase,warm
gsd-add-tests,dead
gsd-add-todo,dead
gsd-audit-milestone,warm
gsd-audit-uat,dead
gsd-autonomous,dead
gsd-check-todos,dead
gsd-cleanup,dead
gsd-complete-milestone,dead
gsd-debug,dead
gsd-discuss-phase,cold
gsd-do,dead
gsd-execute-phase,cold
gsd-fast,dead
gsd-forensics,dead
gsd-health,dead
gsd-help,dead
gsd-insert-phase,dead
gsd-join-discord,dead
gsd-list-phase-assumptions,dead
gsd-list-workspaces,dead
gsd-manager,dead
gsd-map-codebase,dead
gsd-milestone-summary,dead
gsd-new-milestone,warm
gsd-new-project,warm
gsd-new-workspace,dead
gsd-next,dead
gsd-note,dead
gsd-pause-work,cold
gsd-plan-milestone-gaps,cold
gsd-plan-phase,hot
gsd-plant-seed,dead
gsd-pr-branch,dead
gsd-profile-user,dead
gsd-progress,dead
gsd-quick,cold
gsd-reapply-patches,dead
gsd-remove-phase,dead
gsd-remove-workspace,dead
gsd-research-phase,dead
gsd-resume-work,cold
gsd-review,cold
gsd-review-backlog,cold
gsd-session-report,dead
gsd-set-profile,dead
gsd-settings,dead
gsd-ship,dead
gsd-stats,dead
gsd-thread,dead
gsd-ui-phase,dead
gsd-ui-review,dead
gsd-update,cold
gsd-validate-phase,dead
gsd-verify-work,cold
gsd-workstreams,dead
hardware-assessment,dead
hidden-folder-audit,dead
highcharts,dead
how-to-identify-disciplines,dead
hse-risk-analyzer,dead
html-report-verify,hot
hydrodynamic-analysis,cold
hydrodynamics,hot
improve,hot
info,hot
input,hot
inspiration-examples,dead
installation,hot
installation-analysis,dead
instructions,dead
instrument-data-allotrope,hot
integration-with-python-package,dead
interactive-dashboard-builder,warm
interactive-menu-builder,dead
internal-comms,warm
invoice-automation,cold
iso,dead
issue-tracker,dead
journal-entry-prep,hot
json-config-loader,dead
jumper-analysis,dead
knowledge-base-builder,hot
knowledge-management,hot
knowledge-synthesis,warm
langchain,warm
large-reader,hot
lead-generation,warm
learning-from-past-work,dead
legal-risk-assessment,hot
legal-sanity-review,dead
line-highlighting,dead
line-number-start,dead
line-numbers,dead
line-wizard,dead
list-untracked-files,dead
marine-offshore-engineering,dead
marine-safety,dead
marine-safety-incidents,dead
maritime-legal,hot
marp,warm
mcp-builder,cold
md-to-pdf,dead
meeting-briefing,hot
memory-management,cold
mermaid-conventions,dead
mesh-generation,dead
mesh-utilities,hot
metocean,hot
metrics,hot
metrics-tracking,warm
migrate-agent-os-to-claude,dead
miro-api,dead
mkdocs,hot
modal-analysis,dead
model-generator,dead
model-sanitization,dead
model-selection,dead
modeling,dead
modes,hot
modular-architecture-documentation,dead
module-based-refactor,dead
module-lookup,hot
monolithic-to-modular,dead
mooring-analysis,cold
mooring-design,dead
mooring-iteration,dead
multi-body,dead
multi-repo,hot
n8n,warm
naval-architect-expert,dead
naval-architecture,hot
nda-triage,hot
nextflow-pipelines,hot
norsok,dead
note,hot
notion-api,warm
npv-analyzer,dead
numpy-numerical-analysis,cold
obsidian,warm
office-docs,dead
official-plugin-reference,dead
oil-and-gas,cold
openfoam,hot
openpyxl,warm
operability,hot
operation-1,dead
orcaflex,hot
orcaflex-enrichment,dead
orcawave,hot
orchestration-architecture,dead
orchestrator-routing,cold
output,hot
pandas-data-processing,hot
pandasai,cold
pandoc,warm
parallel-batch-executor,dead
parallel-file-processor,warm
pdf,warm
pdftotext-poppler,dead
performance,dead
performance-analytics,cold
phase-1-analysis,dead
phase-1-name,dead
phase-2-planning,dead
phase-3-execution,dead
phase-4-validation,dead
planning-code-goal,warm
planning-goal,cold
playwright,hot
plotly,hot
plotly-visualization,dead
polars,hot
post-processing,dead
pptx,warm
pr-manager,dead
pre-audit,dead
pre-cleanup,dead
principle-1-name,dead
process-skill-template,dead
product-documentation,dead
product-roadmap,cold
production-engineering,cold
production-forecaster,dead
progress-tracking-commands,dead
project-board,dead
prompt-engineering,warm
pypdf,hot
pyproject-toml,dead
pytest-fixture-generator,cold
